x,y,yaw
1.581586464719236806e+00,-4.465404123635918765e+00,-3.218887754206086527e+00
1.470637048233304656e+00,-4.457513167650637875e+00,-3.214629656694548476e+00
1.359687631747369618e+00,-4.449622211665356097e+00,-3.210371559183010870e+00
1.248738215261434359e+00,-4.441731255680075208e+00,-3.206113461671473264e+00
1.137788798775502208e+00,-4.433840299694794318e+00,-3.201855364159935657e+00
1.029805467391790685e+00,-4.428449684868275504e+00,-3.196867036776504634e+00
9.221591911333317793e-01,-4.423343199718889451e+00,-3.191795728725812964e+00
8.145129148748757597e-01,-4.418236714569504286e+00,-3.186724420675121738e+00
7.068666386164168536e-01,-4.413130229420118233e+00,-3.181653112624430513e+00
5.992203623579579475e-01,-4.408023744270732180e+00,-3.176581804573738843e+00
4.928576377259288877e-01,-4.405459061153520928e+00,-3.170990222619102017e+00
3.867088383649679995e-01,-4.403318011708339696e+00,-3.165311928347140480e+00
2.805600390040099978e-01,-4.401176962263157577e+00,-3.159633634075178943e+00
1.744112396430491096e-01,-4.399035912817976346e+00,-3.153955339803217406e+00
6.826244028208827697e-02,-4.396894863372794227e+00,-3.148277045531255869e+00
-3.813793984007794735e-02,-4.397322304190891096e+00,-3.142335332862455033e+00
-1.445949256335188615e-01,-4.398327655318224672e+00,-3.136334351054365310e+00
-2.510519114269597618e-01,-4.399333006445559135e+00,-3.130333369246275588e+00
-3.575088972203977478e-01,-4.400338357572892711e+00,-3.124332387438185865e+00
-4.639658830138386758e-01,-4.401343708700227175e+00,-3.118331405630095698e+00
-5.720621808679615672e-01,-4.404929465679630063e+00,-3.112325356677291044e+00
-6.806330164238576508e-01,-4.409262182247789319e+00,-3.106317840919436968e+00
-7.892038519797568430e-01,-4.413594898815948575e+00,-3.100310325161582892e+00
-8.977746875356559242e-01,-4.417927615384107831e+00,-3.094302809403728816e+00
-1.006345523091552119e+00,-4.422260331952267087e+00,-3.088295293645875184e+00
-1.117796000919445198e+00,-4.429170597318975666e+00,-3.082498669824032422e+00
-1.230286349567780491e+00,-4.437011644196270588e+00,-3.076778201423527648e+00
-1.342776698216112674e+00,-4.444852691073565509e+00,-3.071057733023022873e+00
-1.455267046864447966e+00,-4.452693737950860431e+00,-3.065337264622518099e+00
-1.567757395512783258e+00,-4.460534784828155352e+00,-3.059616796222013324e+00
-1.684203423978257286e+00,-4.470928283690600580e+00,-3.054336436270393307e+00
-1.802394605304237896e+00,-4.482447864311201791e+00,-3.049250241810928408e+00
-1.920585786630218728e+00,-4.493967444931802113e+00,-3.044164047351463065e+00
-2.038776967956196007e+00,-4.505487025552402436e+00,-3.039077852891998166e+00
-2.156968149282176839e+00,-4.517006606173002758e+00,-3.033991658432533267e+00
-2.279040657147776816e+00,-4.530595386101853528e+00,-3.030327233047120483e+00
-2.403175119737545717e+00,-4.545283428163211958e+00,-3.027418122482298468e+00
-2.527309582327317727e+00,-4.559971470224570389e+00,-3.024509011917476453e+00
-2.651444044917090181e+00,-4.574659512285928820e+00,-3.021599901352654438e+00
-2.775578507506858639e+00,-4.589347554347287250e+00,-3.018690790787832423e+00
-2.902011561522026994e+00,-4.605005133105191106e+00,-3.017168366699602089e+00
-3.029900390106612829e+00,-4.621276751770906799e+00,-3.016524177379880101e+00
-3.157789218691195554e+00,-4.637548370436622491e+00,-3.015879988060158112e+00
-3.285678047275781388e+00,-4.653819989102338184e+00,-3.015235798740436124e+00
-3.413566875860367222e+00,-4.670091607768053876e+00,-3.014591609420714136e+00
-3.542227599917241232e+00,-4.686308260993203412e+00,-3.015141376556029762e+00
-3.671467245578337479e+00,-4.702483690137927219e+00,-3.016586611032623377e+00
-3.800706891239430174e+00,-4.718659119282651915e+00,-3.018031845509217437e+00
-3.929946536900526421e+00,-4.734834548427376610e+00,-3.019477079985811052e+00
-4.059186182561622225e+00,-4.751009977572101306e+00,-3.020922314462405112e+00
-4.187867235816868927e+00,-4.766243062904481853e+00,-3.023521797866427718e+00
-4.316054149636178394e+00,-4.780642536402867293e+00,-3.027142347629330654e+00
-4.444241063455486973e+00,-4.795042009901253621e+00,-3.030762897392233146e+00
-4.572427977274792887e+00,-4.809441483399638173e+00,-3.034383447155136082e+00
-4.700614891094101466e+00,-4.823840956898024501e+00,-3.038003996918038574e+00
-4.827108932704387456e+00,-4.836547831977623169e+00,-3.042865875282591670e+00
-4.951839565763602735e+00,-4.847491583704320206e+00,-3.049020804273863572e+00
-5.076570198822822455e+00,-4.858435335431016355e+00,-3.055175733265135474e+00
-5.201300831882041287e+00,-4.869379087157713393e+00,-3.061330662256407376e+00
-5.326031464941257454e+00,-4.880322838884409542e+00,-3.067485591247679277e+00
-5.448131154063240444e+00,-4.888960861351212550e+00,-3.075102375312305902e+00
-5.567001957444070115e+00,-4.894769125180872038e+00,-3.084513254239685143e+00
-5.685872760824897121e+00,-4.900577389010531526e+00,-3.093924133167064383e+00
-5.804743564205726791e+00,-4.906385652840191902e+00,-3.103335012094443623e+00
-5.923614367586556462e+00,-4.912193916669851390e+00,-3.112745891021823308e+00
-6.039112363376896830e+00,-4.915220444163843183e+00,-3.124009236862081096e+00
-6.149719788161036149e+00,-4.914213453971117751e+00,-3.137958659726012733e+00
-6.260327212945176356e+00,-4.913206463778392319e+00,-3.151908082589944815e+00
-6.370934637729312122e+00,-4.912199473585666887e+00,-3.165857505453876009e+00
-6.481542062513451441e+00,-4.911192483392941455e+00,-3.179806928317808090e+00
-6.588231024128818447e+00,-4.907064873554109141e+00,-3.196235565599577111e+00
-6.688171521397963559e+00,-4.897562863213649642e+00,-3.216933961045397528e+00
-6.788112018667111336e+00,-4.888060852873190143e+00,-3.237632356491218388e+00
-6.888052515936259113e+00,-4.878558842532730644e+00,-3.258330751937039693e+00
-6.987993013205405113e+00,-4.869056832192271145e+00,-3.279029147382860110e+00
-7.083665599802456470e+00,-4.856232442660600945e+00,-3.303131258373295687e+00
-7.170535620638309737e+00,-4.836555646047058232e+00,-3.334253532674496867e+00
-7.257405641474165670e+00,-4.816878849433515519e+00,-3.365375806975698492e+00
-7.344275662310020714e+00,-4.797202052819972806e+00,-3.396498081276900116e+00
-7.431145683145873981e+00,-4.777525256206430981e+00,-3.427620355578101297e+00
-7.513594553881274507e+00,-4.754461444621908228e+00,-3.463210552194419645e+00
-7.584990549365538293e+00,-4.722930095609934042e+00,-3.509970554598528469e+00
-7.656386544849801190e+00,-4.691398746597961633e+00,-3.556730557002636406e+00
-7.727782540334064976e+00,-4.659867397585987447e+00,-3.603490559406745675e+00
-7.799178535818329649e+00,-4.628336048574013262e+00,-3.650250561810854499e+00
-7.866220002702001501e+00,-4.593504124183091619e+00,-3.701157113969702372e+00
-7.919835006400524513e+00,-4.548495425707074880e+00,-3.764848861205666530e+00
-7.973450010099047525e+00,-4.503486727231057252e+00,-3.828540608441631132e+00
-8.027065013797569648e+00,-4.458478028755041400e+00,-3.892232355677593514e+00
-8.080680017496092660e+00,-4.413469330279024661e+00,-3.955924102913557672e+00
-8.130648784238616145e+00,-4.365646375036539517e+00,-4.019063797086229961e+00
-8.166397226852742719e+00,-4.306847818404831330e+00,-4.080050484312060632e+00
-8.202145669466871070e+00,-4.248049261773121366e+00,-4.141037171537893968e+00
-8.237894112080999420e+00,-4.189250705141411402e+00,-4.202023858763727304e+00
-8.273642554695125995e+00,-4.130452148509703214e+00,-4.263010545989557976e+00
-8.306822714330062141e+00,-4.069565089270094305e+00,-4.321610597191674508e+00
-8.326840423696635796e+00,-3.997974454165002633e+00,-4.367979138772247083e+00
